BudgetAction,BudgetAdventure,BudgetAnimation,Budget Comedy,BudgetCrime,BudgetDocumentary,BudgetDrama,BudgetFamily,BudgetFantasy,BudgetFilm-Noir,BudgetHistory,BudgetHorror,BudgetMusic,BudgetMusical,BudgetMystery,BudgetRomance,BudgetSci-Fi,BudgetSport,BudgetThriller,BudgetWar,BudgetWestern
669228652.7,,,,,,669228652.7,,,,,,,,,669228652.7,,,669228652.7,,
,569362545,,,,,569362545,,,,569362545,,,,,,,,,569362545,
,212447326.6,212447326.6,,,,,212447326.6,212447326.6,,,,,,,,,,,,
,,,,,219735742.5,,,,,,,,,,,,,,,
279354998,279354998,,,,,,,,,,,,,,,279354998,,,,
242462305.3,,,,242462305.3,,,,,,,,,,,242462305.3,,,242462305.3,,
199571731.1,199571731.1,,,,,199571731.1,,,,199571731.1,,,,,199571731.1,,,,199571731.1,
221407639.7,221407639.7,,,,,,,,,,,,,,,221407639.7,,221407639.7,,
188148729.5,188148729.5,188148729.5,,,,,,188148729.5,,,,,,,188148729.5,188148729.5,,,,
182707331.7,182707331.7,,,,,182707331.7,,182707331.7,,,,,,,,,,,,
162189917.3,162189917.3,162189917.3,162189917.3,,,,162189917.3,,,,,,,,,162189917.3,,,,
,,,,139268734.7,,139268734.7,,,,,,,,,,,,,139268734.7,
156401312.3,156401312.3,,156401312.3,,,,,,,,,,,,,,,,,
279288057.7,279288057.7,,,,,,,,,,,,,,,279288057.7,,279288057.7,,
,189297309.3,189297309.3,,,,,189297309.3,,,,,,,,,189297309.3,,,,
,203588169.6,,,,,,,203588169.6,,,,,,,,,,,,
180603830.9,180603830.9,,,,,,,,,,,,,,,180603830.9,,,,
224469007.6,224469007.6,,,,,,,,,,,,,,,,,,,224469007.6
135212363.8,,,135212363.8,,,,,,,,,,,,,135212363.8,,,,
,211148837.7,,,,,,211148837.7,211148837.7,,,,,,,,,,,,
168124424,168124424,,,,,,,,,,,,,,,168124424,,168124424,,
126348051.9,,,,126348051.9,,,,,,,,,,,,,,126348051.9,,
,129874757.3,,,,,129874757.3,,,,,,,,,,,,,,129874757.3
,,,156713917.5,,,156713917.5,,,,,,,156713917.5,,156713917.5,,,,156713917.5,
223076217.6,223076217.6,,,,,,,223076217.6,,,,,,,223076217.6,,,,,
193031746,193031746,,,,,193031746,,,,,,193031746,,,,,,193031746,,
,153923719.5,,,,,,153923719.5,153923719.5,,,,,,,,,,,,
162139910.8,162139910.8,,,,,,,162139910.8,,,,,,,,,,,,
,,,123601355.2,,,,,,,,,,,,123601355.2,,,,,
156916129,156916129,,,,,,,,,,,,,,156916129,156916129,,156916129,,
141631551.1,141631551.1,,141631551.1,,,,,,,,,,,,,,,,,
141872422,141872422,,,,,,,141872422,,,,,,,,,,,,
,,,,,,137768872.4,,,,137768872.4,,,,,,,,,137768872.4,137768872.4
223076217.6,223076217.6,,,,,223076217.6,,,,223076217.6,,,,,,,,,,
,183815239.6,,,,,183815239.6,183815239.6,,,,,,,183815239.6,,,,,,
161897593.4,161897593.4,,,,,161897593.4,,,,161897593.4,,,,,,,,,161897593.4,
,179760813.5,179760813.5,179760813.5,,,,179760813.5,,,,,,,,,,,,,
135725446.4,,,135725446.4,,,,,135725446.4,,,,,,,,,,,,
155494218.4,,,,,,155494218.4,,,,,,,,,,,,,155494218.4,
100384297.9,,,,,,,100384297.9,100384297.9,,,,,100384297.9,,,,,,,
,,,133845730.5,,,133845730.5,,,,,,,,,133845730.5,,,,,
194970044.7,194970044.7,,,,,,194970044.7,,,,,,,194970044.7,,194970044.7,,,,
,,,,,,167307163.2,,167307163.2,,,167307163.2,,,,,,,167307163.2,,
167307163.2,167307163.2,,,,,,167307163.2,167307163.2,,,,,,,,,,,,
,,103001129.3,103001129.3,,,,,103001129.3,,,,,,,,,,,,
121231152.6,121231152.6,,,,,121231152.6,,,,,,,,,,121231152.6,,,,
,172273655.3,,,,,,172273655.3,172273655.3,,,,,,,,,,,,
125002936.9,125002936.9,,125002936.9,,,,,,,,,,,,,,,,,
254177891.3,254177891.3,,,,,,254177891.3,254177891.3,,,,,,,,,,,,
,,,,,,154425396.8,,,,154425396.8,,,,,,,,,,
