Genre,MedianGross
GrossAction,66975600.45
GrossAdventure,88605881.84
GrossAnimation,111132653.7
Gross Comedy,38386462.35
GrossCrime,33575307.31
GrossDocumentary,1677677.224
GrossDrama,28993726.9
GrossFamily,84757371.98
GrossFantasy,67925726.23
GrossFilm-Noir,86457.62063
GrossHistory,39868124.33
GrossHorror,38569514.47
GrossMusic,39939284.21
GrossMystery,52335774.82
GrossRomance,40093141.21
GrossSci-Fi,36212191.4
GrossSport,67362874.28
GrossThriller,39741709.71
GrossWar,42723227.72
GrossWestern,47552399.49
