GrossAction,GrossAdventure,GrossAnimation,Gross Comedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
166.4342316,20630337.93,209582967.6,23116728.88,72842338.16,14780219.84,1787360.27,209582967.6,209582967.6,86457.62063,20630337.93,69083910.55,31342783.51,31342783.51,79819166.28,1787360.27,77395931.47,49626076.72,1787360.27,20630337.93
869.8493056,209582967.6,44128197.02,17555249.34,370886.1618,4909090.816,20630337.93,23116728.88,44128197.02,,44155272.54,20083118.9,212549.2508,212549.2508,95861501.67,72842338.16,69042275.25,29524849.53,72842338.16,44155272.54
5600.951045,77395931.47,23116728.88,5964355.284,36903.24461,29997.68062,44155272.54,51543702.16,39983990.91,,28849525.49,8680892.288,30777566.22,69192735.91,23644452.41,44155272.54,44128197.02,25677560.74,69042275.25,370886.1618
8928.888316,44155272.54,51543702.16,31342783.51,29524849.53,112290.991,39983990.91,82211408.75,68042152.25,,117360102.5,2356009.747,64411908.82,22303394.17,7059156.475,44128197.02,23116728.88,79906856.07,140834945.1,31342783.51
18355.90662,69042275.25,77766839.47,9218533.779,14144378.59,111371.917,370886.1618,35879432.26,82211408.75,,59026241.1,40334498.57,69192735.91,223976622.3,48790470.13,31342783.51,140834945.1,6751233.052,39483605.02,28849525.49
18542.63261,44128197.02,7429151.467,30906784.29,18673295.84,196319.0955,4427548.544,79819166.28,101227127.8,,61770158.73,16632083.42,60629432.15,8833628.038,7282772.519,101227127.8,51543702.16,28792335.55,36903.24461,59026241.1
21779.25479,39983990.91,18255169.06,77766839.47,7059156.475,813997.4379,31342783.51,77766839.47,35879432.26,,47552399.49,115426320.7,22303394.17,5903398.058,83867364.98,9218533.779,48614576.97,86681473.98,73177735.32,55317852.42
27766.35776,23116728.88,1374181.712,35071888.63,51758233.17,9180.282242,73177735.32,212549.2508,47607312.88,,700433.6944,34085189.52,223976622.3,5398952.098,23065.52429,44582893.52,5964355.284,44794324.55,44582893.52,55977497.59
27909.01564,17555249.34,96380023.63,33698584.96,32482776.97,26798.0994,28849525.49,95861501.67,31557568.51,,25639188.89,44536480.12,8833628.038,48494785.28,55174183.94,33698584.96,39483605.02,133564.3811,69083910.55,47552399.49
29675.34854,140834945.1,27699817.57,7429151.467,19328393.77,4544088.205,117360102.5,70429413.71,35071888.63,,47731250.52,72357737.85,23335801.27,40795514.44,7804618.053,55977497.59,44582893.52,69054695.35,17375588.31,82891899.12
31206.59548,51543702.16,18673295.84,30747293.81,60629432.15,174248.5507,79819166.28,77874404.77,212549.2508,,124183385.5,4146736.031,5903398.058,24132364.37,30333426.76,161049.4991,95861501.67,7572786.675,47552399.49,124183385.5
32085.46161,68042152.25,64411908.82,27333153.13,29573603.26,2940415.568,59026241.1,159978461.1,69083910.55,,48321854.3,5351375.138,35059517.53,33898239.88,51663789.45,23644452.41,26660838.37,43354779.97,20661893.2,48321854.3
36903.24461,48614576.97,69192735.91,117644730.4,64975601.69,1330295.157,55317852.42,27333153.13,70429413.71,,40505699.55,34909168.59,5398952.098,22971223.08,45337206.57,700433.6944,106268307.6,1160029.583,76323413.22,39065637.02
76319.92659,93222406.89,87531229.97,21184481.93,7282772.519,690362.4643,33698584.96,53498374.69,7429151.467,,90894072.16,17858880.11,45935461.4,28556323.66,8396977.545,51758233.17,126068266.7,10833485.36,23644452.41,40505699.55
102476.7781,82211408.75,32135518.77,166057371.8,29750.35109,102983.7493,69083910.55,117644730.4,77874404.77,,48823019.52,5924543.461,40795514.44,65956263.12,9823049.644,22303394.17,21737426.4,36351705.26,30777566.22,90894072.16
103842.495,39483605.02,36723974.24,30777566.22,15632178.71,322190.8383,26660838.37,49626076.72,159978461.1,,23855314.3,31504446.41,39848446.49,7911803.681,66884935.55,66559219.62,142072952,76769747.84,29524849.53,17016632.92
124626.752,4427548.544,156278085,27699817.57,7483396.556,300434.5399,61770158.73,18255169.06,27333153.13,,21642366.74,39743214.78,35904744.28,1127459.61,48618351.81,223976622.3,166057371.8,35245114.13,7059156.475,15783105.59
125432.4484,101227127.8,33810361.12,14144378.59,11298094.98,1677677.224,27333153.13,21184481.93,53498374.69,,17016632.92,29362635.38,24132364.37,43991360.68,48285937.02,29750.35109,25756171.67,12975835.18,51758233.17,25794212.5
130711.5097,73177735.32,223976622.3,18673295.84,41114355.2,2427.442429,55977497.59,1374181.712,117644730.4,,15783105.59,103402878.5,88334741.86,15058994.98,40649981.39,8680892.288,102931868,150469.3703,25639188.89,920876.761
185763.3784,35879432.26,8833628.038,64411908.82,2474899.868,21779.25479,21737426.4,27699817.57,18255169.06,,57302877.26,32538005.22,3568338.69,36212191.4,10127221.49,7483396.556,28707333.19,92408580.13,85484982.98,57435545.29
