GrossAction,GrossAdventure,GrossAnimation,GrossComedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMusical,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
1787360.27,,,,,,1787360.27,,,,,,,,,1787360.27,,,1787360.27,,
,20630337.93,,,,,20630337.93,,,,20630337.93,,,,,,,,,20630337.93,
,209582967.6,209582967.6,,,,,209582967.6,209582967.6,,,,,,,,,,,,
,,,,,14780219.84,,,,,,,,,,,,,,,
77395931.47,77395931.47,,,,,,,,,,,,,,,77395931.47,,,,
72842338.16,,,,72842338.16,,,,,,,,,,,72842338.16,,,72842338.16,,
44155272.54,44155272.54,,,,,44155272.54,,,,44155272.54,,,,,44155272.54,,,,44155272.54,
69042275.25,69042275.25,,,,,,,,,,,,,,,69042275.25,,69042275.25,,
44128197.02,44128197.02,44128197.02,,,,,,44128197.02,,,,,,,44128197.02,44128197.02,,,,
39983990.91,39983990.91,,,,,39983990.91,,39983990.91,,,,,,,,,,,,
23116728.88,23116728.88,23116728.88,23116728.88,,,,23116728.88,,,,,,,,,23116728.88,,,,
,,,,370886.1618,,370886.1618,,,,,,,,,,,,,370886.1618,
17555249.34,17555249.34,,17555249.34,,,,,,,,,,,,,,,,,
140834945.1,140834945.1,,,,,,,,,,,,,,,140834945.1,,140834945.1,,
,51543702.16,51543702.16,,,,,51543702.16,,,,,,,,,51543702.16,,,,
,68042152.25,,,,,,,68042152.25,,,,,,,,,,,,
48614576.97,48614576.97,,,,,,,,,,,,,,,48614576.97,,,,
93222406.89,93222406.89,,,,,,,,,,,,,,,,,,,93222406.89
5964355.284,,,5964355.284,,,,,,,,,,,,,5964355.284,,,,
,82211408.75,,,,,,82211408.75,82211408.75,,,,,,,,,,,,
39483605.02,39483605.02,,,,,,,,,,,,,,,39483605.02,,39483605.02,,
36903.24461,,,,36903.24461,,,,,,,,,,,,,,36903.24461,,
,4427548.544,,,,,4427548.544,,,,,,,,,,,,,,4427548.544
,,,31342783.51,,,31342783.51,,,,,,,31342783.51,,31342783.51,,,,31342783.51,
101227127.8,101227127.8,,,,,,,101227127.8,,,,,,,101227127.8,,,,,
73177735.32,73177735.32,,,,,73177735.32,,,,,,73177735.32,,,,,,73177735.32,,
,35879432.26,,,,,,35879432.26,35879432.26,,,,,,,,,,,,
47607312.88,47607312.88,,,,,,,47607312.88,,,,,,,,,,,,
,,,9218533.779,,,,,,,,,,,,9218533.779,,,,,
44582893.52,44582893.52,,,,,,,,,,,,,,44582893.52,44582893.52,,44582893.52,,
30906784.29,30906784.29,,30906784.29,,,,,,,,,,,,,,,,,
31557568.51,31557568.51,,,,,,,31557568.51,,,,,,,,,,,,
,,,,,,28849525.49,,,,28849525.49,,,,,,,,,28849525.49,28849525.49
117360102.5,117360102.5,,,,,117360102.5,,,,117360102.5,,,,,,,,,,
,79819166.28,,,,,79819166.28,79819166.28,,,,,,,79819166.28,,,,,,
59026241.1,59026241.1,,,,,59026241.1,,,,59026241.1,,,,,,,,,59026241.1,
,77766839.47,77766839.47,77766839.47,,,,77766839.47,,,,,,,,,,,,,
35071888.63,,,35071888.63,,,,,35071888.63,,,,,,,,,,,,
55317852.42,,,,,,55317852.42,,,,,,,,,,,,,55317852.42,
212549.2508,,,,,,,212549.2508,212549.2508,,,,,212549.2508,,,,,,,
,,,33698584.96,,,33698584.96,,,,,,,,,33698584.96,,,,,
95861501.67,95861501.67,,,,,,95861501.67,,,,,,,95861501.67,,95861501.67,,,,
,,,,,,69083910.55,,69083910.55,,,69083910.55,,,,,,,69083910.55,,
70429413.71,70429413.71,,,,,,70429413.71,70429413.71,,,,,,,,,,,,
,,7429151.467,7429151.467,,,,,7429151.467,,,,,,,,,,,,
26660838.37,26660838.37,,,,,26660838.37,,,,,,,,,,26660838.37,,,,
,77874404.77,,,,,,77874404.77,77874404.77,,,,,,,,,,,,
30747293.81,30747293.81,,30747293.81,,,,,,,,,,,,,,,,,
159978461.1,159978461.1,,,,,,159978461.1,159978461.1,,,,,,,,,,,,
,,,,,,61770158.73,,,,61770158.73,,,,,,,,,,
106268307.6,106268307.6,,,,,,,,,,,,,,,106268307.6,,,,
,27333153.13,,27333153.13,,,27333153.13,27333153.13,27333153.13,,,,,,,,,,,,
,55977497.59,,,,,55977497.59,,,,,,,,,55977497.59,,,,55977497.59,
17375588.31,,,,,,,,,,,,,,,,,,17375588.31,,
126068266.7,126068266.7,,,,,,,,,,,,,,,126068266.7,,,,
21737426.4,,,,,,21737426.4,,,,,,,,,,21737426.4,,,,
