Year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
2010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1999,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2004,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2004,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2001,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2013,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2002,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1995,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2002,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1980,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1970,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2006,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
