Year,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War,Western
1980,11.42857143,11.42857143,0,14.28571429,2.857142857,11.42857143,0,8.571428571,0,5.714285714,2.857142857,2.857142857,5.714285714,5.714285714,5.714285714,5.714285714,2.857142857,2.857142857
1981,19.44444444,22.22222222,0,11.11111111,0,2.777777778,0,5.555555556,0,8.333333333,0,0,0,8.333333333,2.777777778,13.88888889,2.777777778,2.777777778
1982,8.823529412,11.76470588,0,8.823529412,0,8.823529412,2.941176471,11.76470588,0,14.70588235,0,2.941176471,2.941176471,17.64705882,0,8.823529412,0,0
1983,13.15789474,13.15789474,0,5.263157895,7.894736842,15.78947368,0,5.263157895,2.631578947,2.631578947,2.631578947,2.631578947,5.263157895,10.52631579,0,10.52631579,0,2.631578947
1984,15.625,9.375,0,7.8125,4.6875,15.625,3.125,4.6875,4.6875,7.8125,6.25,0,7.8125,6.25,3.125,3.125,0,0
1985,12.19512195,12.19512195,0,4.87804878,4.87804878,17.07317073,0,4.87804878,0,4.87804878,2.43902439,0,7.317073171,7.317073171,0,14.63414634,2.43902439,4.87804878
1986,9.85915493,14.08450704,0,14.08450704,4.225352113,12.67605634,0,7.042253521,0,9.85915493,0,1.408450704,11.26760563,8.450704225,1.408450704,4.225352113,1.408450704,0
1987,11.36363636,7.954545455,0,11.36363636,5.681818182,14.77272727,3.409090909,7.954545455,2.272727273,9.090909091,2.272727273,0,3.409090909,4.545454545,0,14.77272727,1.136363636,0
1988,10.25641026,3.846153846,1.282051282,12.82051282,5.128205128,15.38461538,2.564102564,8.974358974,0,10.25641026,0,1.282051282,6.41025641,3.846153846,1.282051282,14.1025641,1.282051282,1.282051282
1989,12.64367816,10.34482759,0,13.79310345,4.597701149,13.79310345,1.149425287,4.597701149,2.298850575,6.896551724,1.149425287,0,4.597701149,6.896551724,2.298850575,11.49425287,3.448275862,0
1990,11.76470588,7.058823529,0,14.11764706,5.882352941,10.58823529,2.352941176,5.882352941,0,8.235294118,3.529411765,1.176470588,9.411764706,8.235294118,1.176470588,7.058823529,0,3.529411765
1991,11.57894737,9.473684211,0,12.63157895,9.473684211,17.89473684,3.157894737,6.315789474,1.052631579,2.105263158,3.157894737,1.052631579,5.263157895,5.263157895,0,9.473684211,1.052631579,1.052631579
1992,8.163265306,4.081632653,1.020408163,11.2244898,10.20408163,17.34693878,4.081632653,5.102040816,1.020408163,6.12244898,2.040816327,2.040816327,9.183673469,5.102040816,2.040816327,9.183673469,1.020408163,1.020408163
1993,9.848484848,8.333333333,0.757575758,9.848484848,7.575757576,19.6969697,5.303030303,6.818181818,2.272727273,1.515151515,1.515151515,0,9.848484848,3.03030303,1.515151515,10.60606061,0.757575758,0.757575758
1994,11.03896104,6.493506494,0.649350649,16.88311688,12.33766234,16.88311688,4.545454545,5.844155844,0.649350649,1.948051948,0,0.649350649,6.493506494,1.948051948,0.649350649,11.03896104,0.649350649,1.298701299
1995,11.79487179,6.666666667,1.025641026,11.79487179,8.717948718,18.97435897,2.564102564,4.615384615,2.564102564,3.076923077,0.512820513,0.512820513,8.205128205,3.076923077,0,13.84615385,1.538461538,0.512820513
1996,8.239700375,6.367041199,1.123595506,13.10861423,8.61423221,22.09737828,2.247191011,2.996254682,1.498127341,2.621722846,1.123595506,1.123595506,8.61423221,3.745318352,2.247191011,13.10861423,1.123595506,0
