,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Year,AvgCPIUSD,Budget2017,Gross2017,Gross-Budget2017,Action,ActionAdventure,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War,Western
0, Black and White,Harry Beaumont,36.0,100.0,4,4.0,Bessie Love,77.0,2808000,"Musical, Romance",Anita Page,The Broadway Melody ,4546,109,Charles King,8.0,"sibling rivalry ,singer ,sister act ,whistling ,wisecrack humor",http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,71,English,USA,Passed,379000,1929,28.0,6.3,1.37,167,1929,17.1,5390665.497,39939284.21,34548618.71,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1, Black and White,Lloyd Bacon,65.0,89.0,24,45.0,Dick Powell,610.0,2300000,"Comedy, Musical, Romance",Ginger Rogers,42nd Street ,7921,995,George Brent,2.0,"chorus girl ,chorus line ,director ,gala premiere ,song",http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,97,English,USA,Unrated,439000,1933,105.0,7.7,1.37,439,1933,13.0,8213352.307999999,43031230.77,34817878.46,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2, Black and White,Mark Sandrich,66.0,81.0,10,23.0,Edward Everett Horton,610.0,3000000,"Comedy, Musical, Romance",Ginger Rogers,Top Hat ,13269,824,Eric Blore,2.0,"dance ,dancer ,dancing ,horse ,tap dancing",http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,98,English,USA,Approved,609000,1935,172.0,7.8,1.37,1000,1935,13.7,10811750.36,53259854.01,42448103.65,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
3, Black and White,Charles Chaplin,120.0,87.0,0,8.0,Stanley Blystone,309.0,163245,"Comedy, Drama, Family",Paulette Goddard,Modern Times ,143086,352,Fred Malatesta,1.0,"actor director writer ,invention ,machine ,music score composed by director ,tramp",http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,English,USA,G,1500000,1936,8.0,8.6,1.37,0,1936,13.9,26246762.59,2856435.173,-23390327.42,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,Color,William Cottrell,145.0,83.0,0,31.0,Billy Gilbert,82.0,184925485,"Animation, Family, Fantasy, Musical",Adriana Caselotti,Snow White and the Seven Dwarfs ,133348,229,Lucille La Verne,1.0,"dwarf ,love ,princess ,queen ,snow white",http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,204,English,USA,Approved,2000000,1937,47.0,7.7,1.37,0,1937,14.4,33780555.56,3123442810.0,3089662254.0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
5, Black and White,Victor Fleming,213.0,102.0,149,357.0,Terry,695.0,22202612,"Adventure, Family, Fantasy, Musical",Margaret Hamilton,The Wizard of Oz ,291875,2509,Billie Burke,3.0,"evil witch ,tornado ,witch ,wizard ,wizard of oz",http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,533,English,USA,Passed,2800000,1939,421.0,8.1,1.37,14000,1939,13.9,48993956.83,388497790.7,339503833.9,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
6,Color,Victor Fleming,157.0,226.0,149,248.0,George Reeves,503.0,198655278,"Drama, History, Romance, War",Hattie McDaniel,Gone with the Wind ,215340,1862,Thomas Mitchell,1.0,"battle of the sexes ,gallantry ,honesty ,indifference ,scandal",http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,706,English,USA,G,3977000,1939,384.0,8.2,1.37,16000,1939,13.9,69588916.55,3476038613.0,3406449696.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
7,Color,James Algar,99.0,120.0,11,,Deems Taylor,16.0,76400000,"Animation, Family, Fantasy, Music",Leopold Stokowski,Fantasia ,71321,16,,0.0,"apprentice ,classical music ,disney ,mouse ,orchestra",http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,230,English,USA,G,2280000,1940,0.0,7.8,1.37,3000,1940,14.0,39610114.29,1327286286.0,1287676171.0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
8,Color,Norman Ferguson,105.0,88.0,3,40.0,Dickie Jones,1000.0,84300000,"Animation, Family, Fantasy, Musical",Mel Blanc,Pinocchio ,90360,1178,Cliff Edwards,0.0,"boy ,conscience ,fairy ,jiminy cricket ,pinocchio",http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,147,English,USA,Approved,2600000,1940,48.0,7.5,1.37,0,1940,14.0,45169428.57,1464531857.0,1419362429.0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
9,Color,King Vidor,32.0,144.0,54,332.0,Lillian Gish,469.0,20400000,"Drama, Romance, Western",Joseph Cotten,Duel in the Sun ,6304,2037,Jennifer Jones,0.0,"box office hit ,half breed ,infidelity ,shooting ,texas",http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,87,English,USA,Unrated,8000000,1946,436.0,6.9,1.37,403,1946,19.5,99782564.1,254445538.5,154662974.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
