Genre,MedianGross,MedianBudget
Drama,28993726.9,26087859.39
Crime,33575307.31,33898257.84
Sci-Fi,36212191.4,29326227.45
Comedy,38386462.35,30501346.96
Horror,38569514.47,18503634.83
Thriller,39741709.71,30959448.25
History,39868124.33,42255476.39
Music,39939284.21,26484167.43
Romance,40093141.21,34682311.84
War,42723227.72,39851715.31
Western,47552399.49,50668722.14
Action,66975600.45,67450126.53
Sport,67362874.28,65413638.68
Fantasy,67925726.23,62132373.43
Family,84757371.98,62268305.17
Adventure,88605881.84,82630602.38
Animation,111132653.7,90483630.95
