Year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1930,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1930,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1930,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1930,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0
1940,0,0,2,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1
1940,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1940,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1950,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1950,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1950,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1950,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1950,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1950,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1960,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1960,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1960,2,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1960,1,1,0,2,0,0,2,2,1,0,0,0,0,3,0,2,0,0,1,0,0
1960,1,2,0,0,0,0,3,1,0,0,1,0,0,1,0,2,0,0,1,2,1
1960,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1960,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
1960,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1970,1,0,0,2,0,1,3,0,0,0,2,0,2,1,0,1,0,0,0,2,0
1970,1,1,0,0,1,0,3,1,1,0,0,0,0,1,0,1,0,0,2,0,0
1970,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1970,1,1,0,2,2,0,3,0,0,0,0,1,1,0,0,1,0,0,2,0,0
1970,1,2,0,2,1,0,1,1,0,0,0,2,0,0,0,1,0,0,3,0,1
1970,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1970,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1970,2,3,0,1,0,0,3,0,1,0,1,1,0,0,0,2,4,0,1,2,0
1970,2,4,0,1,0,0,1,1,1,0,1,4,1,2,0,2,1,0,4,0,0
1970,1,2,0,0,1,0,3,0,0,0,0,1,1,0,1,1,3,0,1,1,0
1980,4,4,0,5,1,0,4,0,3,0,0,2,1,1,1,2,2,2,2,1,1
1980,7,8,0,4,0,0,1,0,2,0,0,3,0,0,2,0,3,1,5,1,1
1980,3,4,0,3,0,0,3,1,4,0,0,5,0,1,2,1,6,0,3,0,0
1980,5,5,0,2,3,0,6,0,2,0,1,1,1,1,0,2,4,0,4,0,1
1980,10,6,0,5,3,0,10,2,3,0,3,5,4,0,0,5,4,2,2,0,0
1980,5,5,0,2,2,0,7,0,2,0,0,2,1,0,2,3,3,0,6,1,2
1980,7,10,0,10,3,0,9,0,5,0,0,7,0,1,3,8,6,1,3,1,0
1980,10,7,0,10,5,0,13,3,7,0,2,8,2,0,0,3,4,0,13,1,0
1980,8,3,1,10,4,0,12,2,7,0,0,8,0,1,1,5,3,1,11,1,1
1980,11,9,0,12,4,1,12,1,4,0,2,6,1,0,1,4,6,2,10,3,0
1990,10,6,0,12,5,0,9,2,5,0,0,7,3,1,1,8,7,1,6,0,3
1990,11,9,0,12,9,0,17,3,6,0,1,2,3,1,0,5,5,0,9,1,1
1990,8,4,1,11,10,0,17,4,5,0,1,6,2,2,1,9,5,2,9,1,1
1990,13,11,1,13,10,0,26,7,9,0,3,2,2,0,3,13,4,2,14,1,1
1990,17,10,1,26,19,1,26,7,9,0,1,3,0,1,5,10,3,1,17,1,2
1990,23,13,2,23,17,0,37,5,9,0,5,6,1,1,6,16,6,0,27,3,1
1990,22,17,3,35,23,0,59,6,8,0,4,7,3,3,7,23,10,6,35,3,0
1990,34,17,3,33,26,1,51,9,8,0,3,7,4,2,16,17,21,2,39,4,0
