Year,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Romance,SciFi,Sport,Thriller,War,Western
1929,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0
1933,0,0,0,33.33333333,0,0,0,0,0,0,0,33.33333333,33.33333333,0,0,0,0,0
1935,0,0,0,33.33333333,0,0,0,0,0,0,0,33.33333333,33.33333333,0,0,0,0,0
1936,0,0,0,33.33333333,0,33.33333333,33.33333333,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,25,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0
1939,0,12.5,0,0,0,12.5,12.5,12.5,12.5,0,0,12.5,12.5,0,0,0,12.5,0
1940,0,0,25,0,0,0,25,25,0,0,12.5,12.5,0,0,0,0,0,0
1946,0,0,0,0,0,33.33333333,0,0,0,0,0,0,33.33333333,0,0,0,16.66666667,16.66666667
1947,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20,0,0
1948,0,25,0,25,0,0,0,0,0,0,0,25,25,0,0,0,0,0
1950,0,0,0,25,0,0,0,0,0,0,0,25,25,0,0,0,0,25
1952,0,0,0,0,0,33.33333333,33.33333333,0,0,0,0,0,33.33333333,0,0,0,0,0
1953,0,20,0,0,0,20,0,0,20,20,0,0,0,20,0,0,0,0
1954,0,0,0,0,33.33333333,33.33333333,0,0,0,0,0,0,33.33333333,0,0,0,0,0
1957,0,33.33333333,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,33.33333333,0
1959,0,0,0,33.33333333,0,0,0,0,0,0,33.33333333,0,33.33333333,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,33.33333333,0,0
1961,0,0,0,0,20,20,0,0,0,0,0,20,20,0,0,20,0,0
1962,14.28571429,28.57142857,0,0,0,14.28571429,0,0,14.28571429,0,0,0,0,0,0,14.28571429,14.28571429,0
1963,20,20,0,10,10,10,0,0,10,0,0,0,10,0,0,10,0,0
1964,6.666666667,6.666666667,0,13.33333333,0,13.33333333,13.33333333,6.666666667,0,0,0,20,13.33333333,0,0,6.666666667,0,0
